
---oeg_human_eval_data.csv (first lines, 1.6MBytes total)
judge_model_name,criterion,submission_system_name,original_instance_id,locale,score
human,coherence,Gemma-3-27B,13ae1b97872d056d111cbf8dfd1617c2,ja_JP,7.0
human,naturalness,Gemma-3-27B,13ae1b97872d056d111cbf8dfd1617c2,ja_JP,7.0
human,instruction_following,Gemma-3-27B,13ae1b97872d056d111cbf8dfd1617c2,ja_JP,7.0
human,coherence,CommandA,fdefc09bc79c168c6ee59c351ac5db78,ja_JP,7.0
human,naturalness,CommandA,fdefc09bc79c168c6ee59c351ac5db78,ja_JP,7.0
human,instruction_following,CommandA,fdefc09bc79c168c6ee59c351ac5db78,ja_JP,6.0
human,coherence,Gemini-2,b9b10ffcbee1477b164fd32d4ef7fb40,ja_JP,7.0
human,naturalness,Gemini-2,b9b10ffcbee1477b164fd32d4ef7fb40,ja_JP,7.0
human,instruction_following,Gemini-2,b9b10ffcbee1477b164fd32d4ef7fb40,ja_JP,7.0
human,coherence,Mistral-Medium,34ff7b0c7d176187b5f56965bc072870,ja_JP,7.0
human,naturalness,Mistral-Medium,34ff7b0c7d176187b5f56965bc072870,ja_JP,7.0
human,instruction_following,Mistral-Medium,34ff7b0c7d176187b5f56965bc072870,ja_JP,7.0
human,coherence,Claude-4,22645d3694ea307a2d88a0b1669a4550,ja_JP,1.0
human,naturalness,Claude-4,22645d3694ea307a2d88a0b1669a4550,ja_JP,1.0
human,instruction_following,Claude-4,22645d3694ea307a2d88a0b1669a4550,ja_JP,4.0
human,coherence,Llama-4-Maverick,e4c27cfc2c87eba9a17d237c0988dcbd,ja_JP,7.0
human,naturalness,Llama-4-Maverick,e4c27cfc2c87eba9a17d237c0988dcbd,ja_JP,7.0
human,instruction_following,Llama-4-Maverick,e4c27cfc2c87eba9a17d237c0988dcbd,ja_JP,7.0
human,coherence,Llama-4-Maverick,fd3d2779b04a00f64e86ebda4403eb34,ja_JP,7.0
human,naturalness,Llama-4-Maverick,fd3d2779b04a00f64e86ebda4403eb34,ja_JP,7.0
human,instruction_following,Llama-4-Maverick,fd3d2779b04a00f64e86ebda4403eb34,ja_JP,4.0
human,coherence,DeepSeek-V3,362fcdcfe450161abe0dfc24f108c8a9,ja_JP,7.0
human,naturalness,DeepSeek-V3,362fcdcfe450161abe0dfc24f108c8a9,ja_JP,7.0
human,instruction_following,DeepSeek-V3,362fcdcfe450161abe0dfc24f108c8a9,ja_JP,4.0
human,coherence,Claude-4,941c034555e30f65555a5ce841836317,ja_JP,7.0
human,naturalness,Claude-4,941c034555e30f65555a5ce841836317,ja_JP,7.0
human,instruction_following,Claude-4,941c034555e30f65555a5ce841836317,ja_JP,7.0
...


---oeg_judge_run2_submission_data.csv (first lines, 23.4MBytes total)
judge_model_name,criterion,submission_system_name,original_instance_id,locale,score
Llama-4-Maverick,instruction_following,Gemma-3-27B,34ff7b0c7d176187b5f56965bc072870,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,34ff7b0c7d176187b5f56965bc072870,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,34ff7b0c7d176187b5f56965bc072870,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,25206396b6f90a56a632de9594cfa279,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,25206396b6f90a56a632de9594cfa279,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,25206396b6f90a56a632de9594cfa279,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,a8de3aee209e73291020dfca4bc9547d,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,a8de3aee209e73291020dfca4bc9547d,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,a8de3aee209e73291020dfca4bc9547d,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,9721721aee5763207020928a6be3d9b1,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,9721721aee5763207020928a6be3d9b1,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,9721721aee5763207020928a6be3d9b1,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,453dbf627af720e73ca10e171bd55725,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,453dbf627af720e73ca10e171bd55725,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,453dbf627af720e73ca10e171bd55725,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,fd3d2779b04a00f64e86ebda4403eb34,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,fd3d2779b04a00f64e86ebda4403eb34,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,fd3d2779b04a00f64e86ebda4403eb34,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,c145f96bc4b6c5d0d18e06e89cb629bd,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,c145f96bc4b6c5d0d18e06e89cb629bd,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,c145f96bc4b6c5d0d18e06e89cb629bd,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,24223944994a18d516282ccef47ac54d,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,24223944994a18d516282ccef47ac54d,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,24223944994a18d516282ccef47ac54d,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,13ae1b97872d056d111cbf8dfd1617c2,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,13ae1b97872d056d111cbf8dfd1617c2,en_US,5.0
Llama-4-Maverick,naturalness,Gemma-3-27B,13ae1b97872d056d111cbf8dfd1617c2,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,9071b005524e4661f6718fe829648c22,en_US,6.0
Llama-4-Maverick,coherence,Gemma-3-27B,9071b005524e4661f6718fe829648c22,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,9071b005524e4661f6718fe829648c22,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,22645d3694ea307a2d88a0b1669a4550,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,22645d3694ea307a2d88a0b1669a4550,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,22645d3694ea307a2d88a0b1669a4550,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,941c034555e30f65555a5ce841836317,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,941c034555e30f65555a5ce841836317,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,941c034555e30f65555a5ce841836317,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,e4c27cfc2c87eba9a17d237c0988dcbd,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,e4c27cfc2c87eba9a17d237c0988dcbd,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,e4c27cfc2c87eba9a17d237c0988dcbd,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,41195c6e58c3dc54bd51d9462c2a1a35,en_US,5.0
Llama-4-Maverick,coherence,Gemma-3-27B,41195c6e58c3dc54bd51d9462c2a1a35,en_US,5.0
Llama-4-Maverick,naturalness,Gemma-3-27B,41195c6e58c3dc54bd51d9462c2a1a35,en_US,3.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,95641032115fac92e1ea4efa811faae8,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,95641032115fac92e1ea4efa811faae8,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,95641032115fac92e1ea4efa811faae8,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,6caeb46fd20a0b0f5a9f74da715d8b77,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,6caeb46fd20a0b0f5a9f74da715d8b77,en_US,7.0
Llama-4-Maverick,naturalness,Gemma-3-27B,6caeb46fd20a0b0f5a9f74da715d8b77,en_US,7.0
Llama-4-Maverick,instruction_following,Gemma-3-27B,619fdd90dcf02a109782351e726f434d,en_US,7.0
Llama-4-Maverick,coherence,Gemma-3-27B,619fdd90dcf02a109782351e726f434d,en_US,7.0
...



